,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
43,Ramy Bensebaini,dz ALG,DF,M'Gladbach,28-022,1995,25.6,5,35,9,25.7,1.37,0.35,0.11,0.44,16.9,3,1,1,4.3,3.5,0.10,+0.7,+0.5,Matches,378825c7
44,Mergim Berisha,de GER,FW,Augsburg,24-362,1998,17.6,9,48,13,27.1,2.73,0.74,0.13,0.46,18.5,5,3,4,7.8,4.7,0.10,+1.2,+1.3,Matches,eb6e14be
45,Ermin Bičakčić,ba BIH,DF,Hoffenheim,33-104,1990,2.3,0,2,1,50.0,0.85,0.43,0.00,0.00,11.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,7aac47fe
46,Tom Bischof,de GER,MFFW,Hoffenheim,17-314,2005,3.4,0,7,2,28.6,2.04,0.58,0.00,0.00,22.4,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Matches,07d3bfec
47,Leonardo Bittencourt,de GER,MFDF,Werder Bremen,29-140,1993,15.8,2,23,8,34.8,1.46,0.51,0.09,0.25,23.0,2,0,0,1.1,1.1,0.05,+0.9,+0.9,Matches,dc62fbee
48,Janis Blaswich,de GER,GK,RB Leipzig,32-006,1991,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,663e080e
49,Daley Blind,nl NED,DFMF,Bayern Munich,33-060,1990,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,24.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,691bef82
50,Kevin-Prince Boateng,gh GHA,MF,Hertha BSC,36-063,1987,4.5,0,6,0,0.0,1.34,0.00,0.00,,19.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,f4ec4fd0
51,Jean-Paul Boëtius,nl NED,MF,Hertha BSC,29-047,1994,10.4,0,5,3,60.0,0.48,0.29,0.00,0.00,20.6,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches,635f2732
52,Yvandro Borges Sanches,lu LUX,FWMF,M'Gladbach,18-349,2004,0.3,0,1,0,0.0,3.21,0.00,0.00,,34.7,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,36578017
